account_code,begin_net,period_debit,period_credit,balance_net
53217,109904.24,94702.55,0.0,204606.79
53218,0.0,0.0,0.0,0.0
53350,12987.0,10751.74,0.0,23738.74
53616,0.0,0.0,0.0,0.0
11580,0.0,0.0,0.0,0.0
51200,800.0,7016.0,0.0,7816.0
11420,0.0,0.0,0.0,0.0
11590,0.0,0.0,0.0,0.0
31200,-500.0,0.0,0.0,-500.0
31300,-500.0,0.0,0.0,-500.0
53450,1857.33,0.0,0.0,1857.33
13400,0.0,0.0,0.0,0.0
53617,0.0,0.0,0.0,0.0
21480,0.0,0.0,0.0,0.0
11161,0.0,0.0,0.0,0.0
21491,0.0,0.0,0.0,0.0
11515,0.0,0.0,0.0,0.0
21492,0.0,0.0,0.0,0.0
53360,0.0,0.0,0.0,0.0
11573,32080.2,0.0,0.0,32080.2
53618,0.0,727.76,0.0,727.76
11142,6384.97,0.0,0.0,6384.97
14001,100641.0,0.0,0.0,100641.0
11143,140137.85,1443136.87,1351054.24,232220.48
53361,0.0,0.0,0.0,0.0
51101,0.0,0.0,0.0,0.0
21493,0.0,0.0,0.0,0.0
51102,0.0,0.0,0.0,0.0
53219,1900.0,4873.85,0.0,6773.85
51103,0.0,0.0,0.0,0.0
53913,80099.6,80099.6,0.0,160199.2
53221,0.0,4398.87,0.0,4398.87
53220,0.0,15000.0,0.0,15000.0
53619,0.0,1000.0,0.0,1000.0
51104,0.0,100.0,0.0,100.0
53222,0.0,310.2,0.0,310.2
11516,0.0,5760.0,0.0,5760.0
11517,0.0,0.0,0.0,0.0
11518,0.0,0.0,0.0,0.0
